2025-07-04

RU000A10BTJ7	Ульоб34010  	3	BBB 	2028-07	 A  	 18.2	101.4%	  p86	10,1,4,7
RU000A10AUE8	РЖД 1Р-36R  	2	AAA 	2028-11	    	 17.4	114.8%	  p62	-12
RU000A1087F6	Ульоб34008  	3	BBB 	2029-04	 A  	 16.6	 96.5%	  p77	7,10,1,4
RU000A10BFG2	Атомэнпр05  	2	AAA 	2030-04	    	 15.9	108.6%	  p88	7,10,1,4
RU000A10AZ60	РЖД 1Р-38R  	2	AAA 	2030-03	    	 15.8	113.1%	  p92	-12
RU000A1099S4	Новосиб 24  	1	AA  	2029-08	 A ↓	 15.8	103.4%	  p65	7,10,1,4
RU000A106YE3	МгдОбл2023  	1	BBB-	2028-09	 A  	 14.5	 94.7%	  p32	9,12,3,6

SU26248RMFS3	ОФЗ-ПД 26248	1	AAA 	2040-05	    	 14.1	 86.7%	 p100	12,6
SU26247RMFS5	ОФЗ-ПД 26247	1	AAA 	2039-05	    	 14.1	 86.9%	 p100	11,5
SU26250RMFS9	ОФЗ-ПД 26250	1	AAA 	2037-06	    	 13.9	 86.4%	  p94	12,6
SU26246RMFS7	ОФЗ-ПД 26246	1	AAA 	2036-03	    	 13.8	 86.7%	 p100	9,3
SU26245RMFS9	ОФЗ-ПД 26245	1	AAA 	2035-09	    	 13.8	 87.0%	 p100	10,4
SU26243RMFS4	ОФЗ-ПД 26243	1	AAA 	2038-05	    	 13.3	 73.6%	 p100	12,6
SU26244RMFS2	ОФЗ-ПД 26244	1	AAA 	2034-03	    	 13.1	 85.9%	  p99	9,3
SU26238RMFS4	ОФЗ-ПД 26238	1	AAA 	2041-05	    	 12.5	 56.9%	 p100	12,6
